Review,Sentiment
way plug us unless go converter,0
good case excellent value,1
great jawbone,1
tied charger conversations lasting minutes major problems,0
mic great,1
jiggle plug get line right get decent volume,0
several dozen several hundred contacts imagine fun sending one one,0
razr owner must,1
needless say wasted money,0
waste money time,0
sound quality great,1
impressed going original battery extended battery,1
two seperated mere ft started notice excessive static garbled sound headset,0
good quality though,1
design odd ear clip comfortable,0
highly recommend one blue tooth phone,1
advise everyone fooled,0
far good,1
works great,1
clicks place way makes wonder long mechanism would last,0
went motorola website followed directions could get pair,0
bought use kindle fire absolutely loved,1
commercials misleading,0
yet run new battery two bars three days without charging,1
bought mother problem battery,0
great pocket pc phone combination,1
owned phone months say best mobile phone,1
think instructions provided helpful,0
people couldnt hear talk pull earphone talk phone,0
hold charge,0
simple little phone use breakage unacceptible,0
product ideal people like whose ears sensitive,1
unusable moving car freeway speed,0
two years left contract hate phone,0
car charger well ac charger included make sure never run juice highy recommended,1
need least mins get phone book time first turn phone battery life short,0
kept well,1
poor talk time performance,0
case great works fine,1
worthless product,0
great camera thats mp pics nice clear great picture quality,1
impressed product,0
nice headset priced right,1
hear garbage audio,0
excellent bluetooth headset,1
features want,1
right mind gon na buy battery,0
arguing verizon regarding dropped calls returned phones two days,0
case seems well made,1
disappointed battery,0
loud enough turn like,0
good protection make phone bulky,1
usable keyboard actually turns pda real world useful machine instead neat gadget,1
phone pretty sturdy never large problems,1
love thing,1
everything fine reasonable price e,1
disappointed,0
even dropped phone stream submerged seconds still works great,1
happy complaints one regarding sound quality end,1
buttons bad,0
essentially forget microsoft tech support,0
really recommend faceplates since looks nice elegant cool,1
headphones great find think perhaps best purchase made last several years seriously,1
buy different phone,0
hold phone particular angle party hear clearly,0
one big drawback mp player buttons phone front cover let pause skip songs lock seconds,0
week later activated suddenly died,0
feels comfortable headsets wear glasses gets way sometimes,1
great ipods,1
device great several situations,1
mic work,0
even bmw series fairly quiet trouble hearing person saying,0
great choice,1
nice docking station home work,1
beautiful phone,1
love product,1
buy wrongly advertised,0
great little item,1
love phone handy lot features,1
purchased within days longer working,0
wear everyday holds well,1
good bargain,0
well packaged arrived time works intended,1
battery runs quickly,0
item worked great broke months use,0
headsets easy use everyone loves,1
phone works great,1
construction headsets poor,0
product excellent works better verizon one boy cheaper,1
phone loads super,1
product costs much one expect work far better greater ease thing,0
made sturdy,1
worked great,1
ear buds play music one ear,0
dont waste money,0
order,1
plan use car forget,0
found product waaay big,0
best found far tried bluetooths one best quality listener well ease using,1
disappointed decision,0
integrated seamlessly motorola razr phone,1
buyer beware could flush money right toilet,0
definitely bargain,1
price good free shipping good purchase,1
received supposedly new motorola apparently match phone charger,0
pros good camera nice pictures also cool styles like black white,1
huge design flaw unless using correctly think case,0
love headset jabra bluetooth headset great reception good ear piece comfortable fit,1
camera although rated impressive megapixels renders images fall well expectations relatively high resolution,0
purcashed car charger work,0
sound quality end excellent use headset call wife ask wife use headset call,1
phone slim light display beautiful,1
little geeky think thats sex toast rocks oozes sex right battery embedded sleek stylish leather case,1
great product fast shipping,1
absolutely great,1
keyboard nice compromise full qwerty basic cell phone number keypad,1
got phone around end may completely unhappy,0
comfortable ear,1
winner us,1
setup simpler,1
tried several different earpieces cell phone jabra one first one found fits ear comfortably,1
could get strong enough signal,0
iam pleased purchase,1
bad quality,0
gets job done,1
great audio,1
basically service bad,0
work cell phone plug set charger,0
bluetooth weeks really like,1
bt headset disapoinment,0
small even realize getting used,1
accompanied software almost brilliant,1
headset works great packaged nicely avoid damage,1
definitly recommend,1
buyer careful,0
majority logitech earbud headsets failed,0
good stuff price,1
headset works peachy keen,1
house getting dropped coverage upstairs coverage basement,0
voice recognition tremendous,1
waste,0
several different minute calls experienced drops area bars,0
happy item,0
disappointed,0
phone takes forever charge like hours literally,0
got phone reccomendation relative glad,1
waste time,0
reception poor,0
items stated included description included,0
months screen went black sudden,0
hoping,0
audio quality poor poor,0
absolutely problem headset linking blackberry curve,1
know sounds funny seemed like sketchy technology work well well one works great,1
bought wired headphones sound better,0
phone fast sending kind messages web browsing significantly faster previous phones used,1
nice quality build unlike cheap,1
item fantastic works perfectly,1
love colors,1
w superb,1
whine internet goes use thing less like,0
great charger,1
essentially communications tool communicate,0
works like charm work one got phone,1
still maintain monkeys make headphones obviously share enough dna copy design humans,0
great value,1
work bougth l c working,0
look sharp screen nice clear great graphics,1
last long,0
one thing hate mode set button side,0
excellent service,1
thank wasting money,0
audio quality poor,0
igo chargers tips really great,1
file browser offers options one needs handsfree great,1
superb phone great network,1
connected wife bluetooth motorola hs phone worked like charm whether phone pocket case,1
put latest os v g likes slow crawl lock every,0
recognizes phone storage device,0
like loud buzzing override conversations phone,0
buy product,0
bluetoooth headset time still comfortable way fits ear,0
sound quality good functionality awesome,1
phone thorn side really abhor,0
recently problems could stay connected minutes disconnected,0
incredible,1
design flaw,0
great phone,1
waste bucks,0
check voice mail night keypad backlight turns seconds first message lost,0
replacement died weeks,0
ring tone overall good phone buy,1
lately extremely nice helpful phone,1
problems wit hit dropping signal,0
impressed,0
light weight hardly notice,1
love thin,1
bad choice,0
pleather case fit,0
useless phone simply deaf,0
color even prettier thought would graphics incredibly sharp,1
think good investment,1
makes strange ticking noises ends call,0
best electronics available fm transmitters,1
battery lasts hours,0
great headset impressed h,1
mega pixel camera part phone reasonably good,1
nearly years worked great,1
good transmit audio,1
sending back,0
bother contacting company dollar product learned lesson bought form online anyway,0
hate earbugs avoid phone means,0
great price also,1
range decent able roam around house phone living room reception sound quality issues,1
fast service,1
would highly recommend,1
would recommend,1
also like button felt like would crack use,0
worst phone ever,0
still infatuated phone,1
freezes frequently,0
kind embarrassing use looks mostly embarrassing child like company,0
simple lightweight great fit,1
expected better consumer experience motorola,0
horrible tick sound background calls never experienced,0
certainly comfortable functionality decent,1
usually like headbands one lightweight mess hair,1
bit disappointed,0
phone year tell great,0
ordered sony ericsson w think worked thats first used,0
battery completely useless,0
big waste time,0
waste one,0
great sound service,1
really pleased product far,1
one favorite purchases ever,1
best bluetooth market,1
authentic leather nice shine comfort recommend case,1
excited get headset thought really cute,1
make mistake,0
big disappointment calendar sync,0
phone unusable new,0
worst customer service ever,0
additional ear gels provided instructions whatsoever,0
defeats purpose bluetooth headset,0
worth every penny,1
excellent wallet type phone case,1
nice headphones price work great,1
internet excrutiatingly slow,0
comfortable wear well probably important aspect using case,1
fits like glove strong secure durable,1
gosh best phone ever,1
attractive appears good quality,1
love features form factor,1
product strong rubber petroleum smell unbearable caused return,0
poor quality service,0
cable looks thin flimsy scary,0
great earpiece,1
excellent hands free tool,1
great using home stereo,1
good product incredible value,1
month worked flawlessly far,1
works great,1
absolutel junk,0
one work either,0
battery life real good,1
returned hours later,0
great item,1
waste money,0
love headset,1
drain player may also potentially fry,0
worked perfectly,1
unreliable giving,0
gave stars sound quality,1
avoid one,0
reversible plug works great,1
wasted little money earpiece,0
good phone,1
best rotating feature helpful,1
comfort whole family,1
good product good seller,1
love bluetooth,1
first wear well,0
impressed headset plantronics,1
got small adorable,1
recommend buying product,0
piece junk,0
poorly contstruct hinge,0
item great installed let charged overnite working good every since problems,1
great phone,1
buy,0
excellent phone,1
purchase phone,0
voice recognition thru handset excellent,1
hands best phone ever,1
works great cat attacked phone scratched protective strip instead destroying screen,1
one works priced right,1
customer service terrible,0
battery life still long enough motorola razor v,0
sending back,0
know made wise decision,1
someone shouldve invented sooner,1
good price,1
everything worked first try device certainly engineered clever way construction feels good,1
received quickly works great,1
working great,1
many people complained found headset microphone weak,0
year old nokia tracfone holds charge lot better,0
care consumer one bit,0
good battery got really fast,1
instruction manual lacking,0
also slim enough fit alarm clock docking station without removing case,1
phone holds charge like new,1
battery unreliable well service use antena,0
uncomfortable sound quality quite poor compared phone razr previous wired headset plugged lg,0
gotten lot compliments,1
definitely must state allow cell phone usage driving,1
want money back,0
love device,1
also happy price,1
ordered product first unhappy immediately,0
ngage still lacking earbuds,0
able voice dialing car problem,1
bars cell phone home cant hear anything,0
good item low price,1
however riingtones best neither games,0
plug work well,0
amazon sucks,0
rip charge shipping,0
comfortable,1
battery working well replacement original came phone years ago,1
reception excellent,1
fits comfortably either ear sound clear loud charge lasts couple days,1
clear quality sound mess sound ipod since sound buttons headset,1
long lasting battery recharge frequentyly flip phones,0
obviously problem adhesive,0
disappointing,0
inexpensive piece would still expected better quality,0
practically useless add kind boost reception bought,0
excellent sound quality,1
happy,0
piece junk broke phone days,0
new battery works great phone,1
worst customer service,0
dropped phone times say even concrete phone still great knock wood,1
reception terrible full static,0
good audio quality,1
little device transformed organizational capability made life whole lot easier,1
sitting vehicle cradle belt headset lost signal,0
jerks phone,0
works like charm works advertised,1
comfortable nice range good battery life,1
network coverage los angeles horrible,0
excellent starter wireless headset,0
loudspeaker option great bumpers lights appealing,0
thing think could improve sound leaks headset,0
first reception sucks never bars ever,0
phone gets extremely hot,0
microphone also works well according people called applifies everything,1
nice design quality,1
also phone dropped case going save specially dropped face,0
light easy use clear reception transmission,1
bad fit way big,0
definitely good,1
awesome device,1
waste money,0
ordered motorola data cable got well finished working product,1
love phone,1
looking headset long time got happier,1
drivng along headset starts ringing reason,0
display excellent camera good year,1
battery life also great,1
worst phone ever months,0
good item worked started problems auto reverse tape player,0
embarassing also ears hurt try push ear plug ear,0
protects phone sides,1
average phone bad battery life operates weak network,0
clear skype calls long battery life long range,1
soyo technology sucks,0
great hands free device,1
even take self portraits outside exterior display cool,1
problem others mentioned,0
trying many many handsfree gadgets one finally works well,1
magical help,1
worst piece crap ever along verizon customer service,0
poor sound quality,0
best phone market,1
worked well,1
company shipped product promptly works well,1
exactly wanted,1
picture resolution far comparably priced phones offering today,0
great deal,1
excellent product satisfied purchase,1
highly recommend encourage people give try,1
better expect,1
using earpieces left right thing stay ear,0
great product price,1
sounds good reasonably priced effective simple,1
still waiting sure item would work well ever recieve,0
disappointment,0
prompt service,1
excellent product price,1
pleased headset,1
waste money time,0
especially love long battery life,1
stupid keep buying new chargers car chargers cradles headphones car kits every time new phone comes,0
plantronics bluetooth excelent buy,1
came verizon cingulair nicer cell phones first thing noticed really bad service,0
looking new earpiece,0
highly recommend device everyone,1
jawbone era awesome,1
received white colored battery goes dead couple hoursthe original used last week still lasts longer thereplacement,0
year battery went completely dead headset,0
used several phone two years one best,1
awesome new look fall,1
first phone cheaply made,0
att clear sound distorted yell talk,0
plastic breaks really easy clip,0
price good,1
make mistake,0
oh forgot also mention weird color effect phone,0
using iriver spinn case fits fine,1
also area unit broke fond magnetic strap,0
overall psyched phone appointments contacts gets great reception,1
every thing phone work perfectly like,1
another note phone appearance really looks rather bland especially black model,0
really easy,1
sanyo survived dozens drops blacktop without ill effect,1
fantastic earphones,1
finds cell phone right away enter car,1
low quality,0
highly recommend modest priced cellular phone,1
get better reception clarity phone,1
warning stay away,0
wish could return unit get back money,0
awsome device works great,1
used talk hours battery would literally drained dying,0
find bad unit comes one earpad would recommend anyone,0
displeased,0
might gotten defect would risk buying built quality alone,0
made case small difficult install,0
restored phone like new performance,1
would recommend purchasing jabra jx series works flawlessly moto q go figure,1
searched internet found one best value,1
fit,0
happy product,1
screen size big key pad lit well enough camera quality excellent camera phone,1
really nothing bad say headset,0
glad found product amazon hard find high priced,1
portable works,1
colleague get great reception little expensive performance great,1
even fully charged went bed turned blue tooth wi fi noticed left morning,0
also problems phone reading memory card always turn,0
good wearing hat sunglasses,0
timely shipment quality product,1
nice solid keyboard,1
well made fits surefire gx perfectly,1
horrible phone,0
bt battery junk,0
would recommend others,1
cant get software work computer,0
disappointed,0
poor voice clarity,0
battery works great,1
buyers remorse one,0
disappointed accessoryone,0
find inexcusable probably returning phone perhaps changing carriers,0
looks great strong,1
tmobile service years pretty happy,1
update procedure difficult cumbersome,0
disappointment hate anything goes ear,0
great software motorolas,1
delivery time,1
easy use,1
uncomfortable ear use lg vx env,0
volume switch rocketed unit destination unknown,0
holds charge long time reasonably comfortable long wearing conditions quality sound tremendous,1
like return,0
keyboard really worthwhile usefulness sturdy enough expect problems,1
verizon bills however difficult understand even though pricing plans simple,0
charging overnight batteries work great,1
regret,1
love phone,1
disappointment,0
user friendly,0
unfortunately ability actually know receiving call rather important feature phone pitiful respect,0
exchanged phone even problem,0
results phone either stuck max volume mute,0
pda rocks,1
super charged use small hybrid palmtop camera cellphone excels roles,1
would definitely recommend jabra bt v looking comfort clarity great price,1
verizon years ago really liked service,1
pretty piece junk,0
plug wrong size,0
works described,1
save money item months,0
bad purchase,0
well im satisfied,1
bose noise cancelling amazing important nyc commuter,1
battery excellent bargain,1
defective crap,0
would given star able,0
wear glasses fits fine,1
sound quality device unacceptable unless really quiet area almost hear nothing,0
would recommend item anyone,0
holster arrived match photo ad,0
great problems,1
earlier review noted plug charger nothing happens,0
frog phone charm adorable eye catching,1
never know pushed hard enough right number times function want,0
sound clear people talk amazed quality,1
got aluminum case new palm vx worked really well protected handheld perfectly far,1
good product well made,1
mobile phone tools must,1
impressed job motorola sturdiness phone,1
received orders well within shipping timeframe everything good working order overall excited source,1
phone sturdy waterproof,1
impressed would recommend item anyone,0
complaint standard sound volume little low even turned,0
thanks amazon things need good price,1
ended sliding edge pants back pockets instead,1
go store bought new nokia phone working great,1
really ugly,0
horrible switch times,0
noise shield incrediable,1
real improvement,0
razr battery good buy,1
keep good work amazon,1
refuse refund replace,0
unfortunately easy accidentally activate gentle touch buttons accidentally touch phone face listening,0
basically threw money window nothing,0
great case price,1
took one drop inches kitchen counter cracked impressed laughing,0
bluetooth range good days ago left phone trunk got call carried conversation without hitch,1
small sleek impressive looking practical setup ample storage place,1
eargels channel sound directly ear seem increase sound volume clarity,1
none new ones ever quite worked properly,0
glad purchased,1
missed numerous calls reason,0
perhaps phone defective people hear use,0
sucked stuff work phone,0
shifting bubbling peeling even scratch nothing happier new one droid,1
worst software ever used could give zero stars would,0
trying make call exercise frustration,0
case flimsy piece plastic front side protection whatsoever,0
jabra earset happy sound quality especially outgoing better,1
love camera really pretty good quality,1
thank great service,1
total package,1
seller understanding patient would definitely buy,1
give wirefly star contact cingular inform practice,0
aggravating,0
great product price,1
purchased family friends enjoy clarity ease use,1
virgin wireless rocks cheap little phone,1
none works buy,0
muddy low quality sound casing around wire insert poorly super glued slid,0
please dont waste money,0
quite satisfied purchase,1
looking good quality motorola headset keep looking,0
yet plantronincs continues use flawed charger design,0
disapointing results,0
cumbersome design,0
great new packaged nice works good problems came less time expected,1
great product,1
piece crap,0
experience terrible fourth bluetooth headset much comfortable last jabra hated,0
fixes problems,1
worst ever,0
happy,1
trouble accessing internet downloading ringtones performing functions,1
barely ever hear constantly saying,0
battery life highly unacceptable,0
company joke,0
everything description said would,1
due happening every call forced stop using headset,0
works great car charger especially plug two adapters time,1
verizon tech support walked procedures none worked ended hard set wiping data,0
voice quality signal strength dropped calls,0
plays louder speaker size price low would think quality lacking however,1
better expected,1
feels poorly constructed menus difficult navigate buttons recessed difficult push,0
battery holding well,1
also difficult put recommend avoiding product,0
used two days always easy hear,0
got car charger even week charger broken went plug started smoking,0
sprint terrible customer service,0
linked phone without effort,1
cool,1
easy use,1
better new,1
possesed get junk idea,0
piece trash,0
pretty good product,1
great phone,1
price amazon excellent product would highly recommend,1
research development division obviously knows,1
real killer volume course breaking,0
phones working fine,1
happy product,1
poor construction,0
infuriating,0
overall would recommend phone new walkman,1
sprint charges service,0
cheap feel look cheap,0
fits ear well comfortable,1
work europe asia,0
clipping belt deffinitely make feel like cent coming,1
like design look jabra behing ear headsets pretty comfortible wear hours day without pain ear,1
amazed quick arrival two original lg cell phone batteries fraction price,1
worst phone samsung crap crappy samsung e worst ever seeen,0
charger worked week completely stopped charging phone,0
poor product,0
however needed better instructions,0
need two hands operate screen software interface decade old compete new software designs,0
worked well paired treo w skype headset pc using usb bluetooth transceiver,1
steer clear product go genuine palm replacementr pens come three pack,0
buy buyit sucks,0
great product sure beats using fingers,1
plus seriously believe worth steep price point,0
cases tried normally fall apart months one seems long haul,1
dissapointing performance,0
make mistake please buy phone,0
phone might well worst ever brand,0
case less extra originally put later discarded scratched ear,0
recommend igo anyone different brand cell phones mp players family,1
bother go store,0
posted detailed comments grey black phone fire red great color,1
problem item would order needed,1
get pay guess,0
software great job could also make ringtones form existing cds without internet connection,1
im surprised good quality car charger much reviews,1
fabulous,1
however bt headsets currently good real time games like first person shooters since audio delay messes,0
used bitpim free program find internet transfer data phone price cable excellent,1
disappointing accessory good manufacturer,0
performed awful muffled tinny incoming sound severe echo end call,0
wind resistant,1
obviously terrible customer service get pay,0
last forever overly expensive replace easy operate sound much better others tried,1
contacted company told although unit still warranty produce receipt luck,0
linksys way exchange bad phone refurb unit something,0
phone sturdy nokia bar phones,1
great phone,1
placed treo case snug lot extra room sides,0
pleased,1
battery terrible,0
found product easy set use,1
earpiece large heavy keeps falling ear,0
utter crap sound quality terrible,0
charger arrived within promised timeframe work,0
ear loop needed tiny sound great,1
finally three four times spring latch broke could use longer visor,0
handsfree part works fine car tries download address book treo reboots overall still rate device high,1
talk useless customer service,0
felt light tinny,0
fit palm tungsten e broke first time tried plug,0
happy purchase good quality low price,1
love look feel samsung flipphones,1
well designed sharp blue nice color,1
everything,1
could recommend,0
nice sound,1
looks good picture case huge disappointment,0
much less jawbone going replace,1
setup went smoothly,1
extremely slow takes forever anything,0
must study anyone interested worst sins industrial design,0
first thing happened tracking,0
well made easy access phone handy detachable belt clip,1
continue pairing periodically since somehow kept dropping,0
upload ringtones third party,0
bluetooth work phone locks screens flash makes calls randomly pocket locked,0
truly awful,0
works fine motorola cellphone lot better worn battery,1
volume ringer real good choices loud,1
none tones acceptable,0
camera color balance awful,0
product clearly ready prime time care cool looks tell call coming worthless,0
love ringtones upbeat,1
chinese forgeries abound,0
easy pair samsung cell,1
instructions explain microphone jack could used,0
would advise purchase item never worked well,0
bad pay month service,0
works well,1
nokia ca usb cable work phone,0
clear crisp sound,1
use smallest earpieces provided stays pretty well,1
biggest complaint battery drains superfast,0
design might ergonomic theory could stand ear,0
buy want use holster,0
phone also take great pictures even video clips,1
make look cool,0
ears occupied background distracting,1
comfortable fit need headset comfortable least hour time entire day,1
also phone seem accept anything except cbr mp preferably ripped windows media player,0
beat price,1
comes strong light use light camera shots even flash sos signals seriously,1
lightweight works well,1
beware,0
love cable allows connect mini usb device pc,1
anyone near hear part conversation,0
cool cases open allowing screen get scratched,1
bought phone replacement startac regretted since,0
appears actually outperform original battery china came v,1
store anything phone numbers sim,0
lasts less minutes actually try use phone wife phone problem,0
poor quality,0
jabra ear gels r best,1
worth,0
phone crashed completely get replaced,0
quit working used months purchased another one best headset ever owned,1
unfortunately recharge iphone despite connecting multiple power sources imac external battery wall outlet etc,0
great phone,1
simply want small flip phone look elsewhere extra bells whistles mediocre,0
good value works fine power via usb car wall outlet,1
phone slide around car grip prevents phone slipping hand,1
simply best bluetooth headset sound quality,1
think plan one sure last moto phone,0
span hour two people exclaim whoa new phone tv,1
always used corded headsets freedom wireless helpful,1
case passed one year mark shows signs wear functional,1
leather nice soft fit tight cut face good shape,1
everything need ask,1
receiving using product days broke,0
product great makes working lot easier go copier waiting hold something,1
none three sizes sent headset would stay ears,0
mobile best customer service anywhere,1
arrived quickly much less expensive others sold,1
tried units failed within months pros,0
provides good protection looks classy,1
krussel always good,1
tracfonewebsite user friendly makes easy toactivate etc,1
design good,1
great reception time,1
would highly recommend product,1
use unit sunglasses good texas,0
dit work time nokia,0
bought mainly charger broke soon purchasing,0
fantastic buy get whatever next phone,1
stay away store careful,0
blueant supertooth hands free phone speaker awesome,1
item arrived quickly works great metro pcs samsung sch r slider phone sony premium sound ear plugs,1
light plenty battery capacity confortable wear somewhat extended periods time,1
disappointing,0
blue ant easy use,1
cheap hey works pleasantly suprised given low cost item,1
camera phone may used dustpan indoors rather using disposable,0
days later puff smoke came phone use,0
convenient simple use gets job done makes car ride much smoother,1
nano stated son dissapointed,0
sound quality excellent well,1
best headset used,1
would reccommend,0
around years carries highest quality anti glare screen protector found date,1
wanted,1
particular model would work motorola q smartphone,0
wont work right atleast,0
addition feels amp looks phone lightweight cheap plastic,0
warranty problems reoccure bottom line put money somewhere else cingular support,0
really wanted plantronics right one many issues good,0
great product,1
crisp clear,1
first charge kept going dead minutes,0
cheap plastic creaks like old wooden floor,0
get absolutely horrible reception apartment phones problem,0
reception generally good,1
excellent sound battery life inconspicuous boot,1
great bluetooth,1
highly recommend case,1
worthwhile,1
phone got year old slowly breaking despite much care part,0
sorry made purchase,0
bought hoping could make bluetooth headset fit better things made impossible wear,0
treo mobile refused replace forced buy another phone without kind upgrade discount,0
horrible,0
think would hold securly belt,0
allows possibility double booking date time first,0
work weeks break,0
simple use like,1
great tool entertainment communication data management oh sure use activesync optimal data synchronization results,1
use case smell disgusting,0
wanted,0
cases would order another,1
bought battery coupon amazon happy purchase,1
internet access fine rare instance worked,0
perfect ps,1
five star plus plus,1
good quality bargain bought bought cheapy big lots sounded awful people end hear,1
drain,0
tried talking real loud shouting telephone gets old still told great,0
good works fine,1
price great deal,1
great price,1
wind completely useless,0
yes shiny front side love,1
work,0
first thought grtting good deal plugged phone v c razr,0
reception headset excellent,1
thumbs seller,1
verizon lg phone work well together good reception range exceeds feet line sight,1
improper description return,0
works comfortable,1
battery charge life quite long,1
jabra eargels fit ears well,1
battery life,0
checked everywhere feature really disappointing,0
product exactly described,1
gets signal verizon phones,1
job,0
would recommend,1
plan ordering,1
said phone camera nice many cool effects play video decent well,1
satisfied cell phone day one,1
keep getting better better third one numerous palms,1
awkward use unreliable,0
shipping time also quick,1
good hoped,0
good case,1
work,0
really good product,1
unfortunately work,0
three broke within two months use,0
dont buy,0
father v battery dying,0
however ear pads come easily one week lost one,0
calls drop phone comes screen goes black worst stops ringing intermittently,0
horrible horrible protector,0
like nokia either,0
reaching bottom row uncomfortable send end keys expect,0
bought nokia cell phone weeks ago nightmare,0
would take long describe bad customer service experience amazon,0
disappointing thing speakerphone,0
terrible car accept cassette,0
product useless since enough charging current charge cellphones planning use,0
says,0
stay away q,0
used dirty,0
unreliable service mobile,0
good enough price,0
bought two neither charge,0
looks nice,1
excellent tool especially paired phone auto answer,1
read reviews problem,1
products cover important light sensor ear outlet,0
comfortable hand,1
work,0
poor reliability,0
works,1
take picture battery drops bar starts beeping letting know dieing,0
terrible product waste money,0
last time buying,0
waste money,0
far worked like charm,1
weeks far good,1
case best part download pictures laptop using ir even send pictures laptop phone,1
would recommend item,1
choice headset years great sound good volume good noise cancellation,1
nice case feels good hands,1
item received counterfeit,0
really good far probably best bt headset ever,1
works fine,1
received headset good time happy,1
pleased see could replace well travled swivel holster blackberry flip,1
sister one also loves,1
good quality,1
far worst purchase made amazon,0
excellent dual purpose headset,1
excellent,1
work listening music cingular,0
seems completely secure holding belt keeping iphone inside,1
bottowm line another worthless cheap gimmick sprint,0
trouble volume,0
good thing fits comfortably small ears,1
warning buy,0
pairing iphone could happier far,1
opens battery connection broken device turned,0
want clip going top ear causing discomfort,0
best headset ever,1
trust website expect helpful support,0
loud glad say plantronics maintains flawless connection cell static normal use,1
speaker low quality making ring tones sound cheap,0
fits comfortably came three sizes earbud tips,1
bad reception,0
product high quality chinese crap,0
quite comfortable ear,1
buy product fails,0
everything product wrong first,0
pairing two devices easy barely took couple minutes started making calls voice dialing feature,1
utterly confusing first caused lose couple important contacts,0
terrible phone holder,0
cutouts buttons placed perfectly,1
love able use one headset land line cell,1
problem ear loops made weak material break easily,0
nearly good looking amazon picture makes look,0
despite flaws case exceptional quality well worth additional costs owning official oem product,1
stupid,0
hear driving car usually even put loudest setting,1
seller shipped quickly much cheaper competitors,1
good show samsung,1
bought saved alot money,1
always cuts makes beep beep beep sound says signal failed,0
figure,0
phone sounded ok great ok wife phone almost totally unintelligible understand word said,0
take battery phone put back together restart,0
managed bend leaf spring back place metal enough stress break next drop,0
leopard print wonderfully wild,1
works,1
saggy floppy piece junk,0
much better hard plastic cases,1
also new problem,0
happy far,1
cool phone,1
works good,1
motorola finally got voice quality bluetooth headset right,1
looses connection phone even within couple feet two,0
great would really recommend,1
makes easier keep bluetooth wearing,0
said pretty useless,0
never got,0
pair headphones worst ever sound wise,0
drain weak snap,0
charge cingular att phone,0
get extra minutes carry call get cut,1
however year fliptop started get loose wobbly eventually screen went black receive place calls,0
kept catching cable seat pull phone turn,0
headset fulfills requirements happy purchase,1
logitech bluetooth headset,1
like fact rests lightly ear rather inside,1
lot websites rating good phone,1
tried cables computer ipod works fine,1
mic joke volume quite low,0
returning,0
maintain connection computer lap,0
easy turn car volume controls quite accessable,1
mine year christmas bought rest family,1
otherwise easy install use clear sound,1
nice leather,1
purchase different case,0
joy use,1
much disappointed company,0
satisifed,1
charge,0
phone get bought say wow,1
buttons small,0
reading specs alone makes say wow,1
love great armband,1
really like product motorola allot clearer ear piece mic,1
however keypads tinny sometimes reach wrong buttons,0
exchanged sony ericson z pretty happy decision,1
impressed price cases,1
also makes easier hold,1
use product motor control center lot high voltage humming equipment works great,1
pretty easy,1
make calls certain places,0
however girl complain time phone wake like normal phone,0
beautiful styling though,1
company charge restocking fee still given refund back,0
trying return refund,0
plugged find darn thing worked,0
excellent product,1
earbud piece breaks easily,0
lousy product,0
phone tries hard everything fails ability phone,0
best charger seen market yet,1
sweetest phone,1
oh charger seems work fine,1
fits securely ear hook even need used sound better directed ear canal,1
enough volume,0
echo problem unsatisfactory,0
could take videos time quality poor,0
waste money,0
going first negatively review product,0
adapter provide enough charging current,0
much hype phone assumed best mistake,0
also take pictures case lense covered,0
phone falls easily,0
work people hear talk,0
text messaging feature really tricky use,0
really disappointed charger work,0
painful ear,0
lasted one day blew,0
disappointed,0
kind flops around,0
screen get smudged easily touches ear face,0
piece junk lose calls phone,0
item match picture,0
thing disappoint infra red port irda,0
answer calls unit never worked,0
